# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Intensity time series of NaI0590 (see pmd_climfeat.dat) for intervals of
# 30 min of X-shooter data
# 
# Column names:
# bin: unique number of half-hourly bin
# fbin: fraction of bin (summed exposure time divided by 30 min)
# N: number of combined exposures
# year: year
# DOY: day of year
# LT: weighted local time for combined exposures in hours (for longitude of
#     Cerro Paranal)
# MJD: Modified Julian Date for LT
# S27d: solar radio flux averaged for 27 days in solar flux units (sfu)
# I: intensity in R (new measurements)
# 
    bin   fbin   N  year  DOY     LT        MJD   S27d          I 
  17058  0.667   1  2009  356   2.03  55187.280   75.6  3.194e+00 
  17059  0.667   1  2009  356   2.72  55187.309   75.6  3.041e+00 
  17060  1.333   2  2009  356   3.26  55187.331   75.6  3.434e+00 
  17061  0.667   1  2009  356   3.80  55187.354   75.6  4.371e+00 
  17094  0.556   2  2009  356  20.36  55188.044   75.6  2.821e+00 
  17095  0.400   1  2009  356  20.93  55188.068   75.6  2.691e+00 
  17097  0.750   3  2009  356  21.71  55188.100   75.6  2.491e+00 
  17098  0.500   2  2009  356  22.18  55188.120   75.6  2.983e+00 
  17099  1.000   2  2009  356  22.85  55188.148   75.6  3.194e+00 
  17100  0.500   1  2009  356  23.26  55188.165   75.6  3.482e+00 
  17101  1.000   2  2009  356  23.74  55188.185   75.6  3.098e+00 
  17102  0.500   1  2009  357   0.22  55188.205   75.6  2.583e+00 
  17103  1.000   2  2009  357   0.65  55188.223   75.6  2.931e+00 
  17105  0.400   1  2009  357   1.96  55188.277   75.6  3.031e+00 
  17106  0.333   1  2009  357   2.32  55188.292   75.6  3.207e+00 
  17107  1.000   2  2009  357   2.78  55188.311   75.6  3.201e+00 
  17108  0.667   1  2009  357   3.27  55188.332   75.6  3.164e+00 
  17109  1.333   2  2009  357   3.81  55188.354   75.6  4.035e+00 
  17143  0.500   1  2009  357  20.78  55189.062   75.7  2.491e+00 
  17144  1.000   2  2009  357  21.20  55189.079   75.7  3.024e+00 
  17145  1.000   2  2009  357  21.80  55189.104   75.7  4.609e+00 
  17146  0.500   1  2009  357  22.27  55189.124   75.7  5.148e+00 
  17147  1.000   2  2009  357  22.69  55189.141   75.7  5.020e+00 
  17148  1.000   2  2009  357  23.35  55189.169   75.7  4.481e+00 
  17149  0.500   1  2009  357  23.77  55189.186   75.7  3.857e+00 
