   Source_name        RA        Dec RegType  Major  Minor Theta Color reg_qual expnum   mjd exptime      RA_2      Dec_2  tileid                                                                      location Source_name_2 separation table1_index table2_index
     SNR_N103B 77.245833 -68.726389 ellipse   15.0   15.0     0  blue     good   7829 60264   900.0 77.718542 -68.649833 1028007 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028007/60264/lvmSFrame-00007829.fits          7829     677.12           37         1130
    J0517–6757 79.457248 -67.964942 ellipse  61.98  53.46     0  blue     poor   7830 60264   900.0 80.012894  -67.92713 1028055 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028055/60264/lvmSFrame-00007830.fits          7830     763.31           50         1131
    J0517–6757 79.457248 -67.964942 ellipse  61.98  53.46     0  blue     poor   7861 60265   900.0 80.017102 -67.921133 1028055 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028055/60265/lvmSFrame-00007861.fits          7861     773.12           50         1138
    J0517–6757 79.457248 -67.964942 ellipse  61.98  53.46     0  blue     poor   7862 60265   900.0 80.003514 -67.921523 1028055 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028055/60265/lvmSFrame-00007862.fits          7862     754.85           50         1139
    J0517–6757 79.457248 -67.964942 ellipse  61.98  53.46     0  blue     poor   7863 60265   900.0 80.014715 -67.912958 1028055 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028055/60265/lvmSFrame-00007863.fits          7863     776.65           50         1140
    J0517–6757 79.457248 -67.964942 ellipse  61.98  53.46     0  blue     poor   7864 60265   900.0 80.010488 -67.915097 1028055 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028055/60265/lvmSFrame-00007864.fits          7864     769.24           50         1141
    J0517–6757 79.457248 -67.964942 ellipse  61.98  53.46     0  blue     poor   7865 60265   900.0 80.029237 -67.915723 1028055 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028055/60265/lvmSFrame-00007865.fits          7865     793.40           50         1142
    J0517–6757 79.457248 -67.964942 ellipse  61.98  53.46     0  blue     poor   7866 60265   900.0 80.015523 -67.920264 1028055 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028055/60265/lvmSFrame-00007866.fits          7866     771.69           50         1143
    J0517–6757 79.457248 -67.964942 ellipse  61.98  53.46     0  blue     poor   7867 60265   900.0  80.01782 -67.924381 1028055 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028055/60265/lvmSFrame-00007867.fits          7867     771.72           50         1144
    J0517–6757 79.457248 -67.964942 ellipse  61.98  53.46     0  blue     poor   7868 60265   900.0 80.011198 -67.926602 1028055 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028055/60265/lvmSFrame-00007868.fits          7868     761.41           50         1145
    SNR_in_N44 80.779792 -67.886667 ellipse  127.5  127.5    90  blue     good   8314 60274   900.0 80.570976 -67.946953   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60274/lvmSFrame-00008314.fits          8314     356.33           57         1306
    SNR_in_N44 80.779792 -67.886667 ellipse  127.5  127.5    90  blue     good   8315 60274   900.0 80.579609 -67.948074   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60274/lvmSFrame-00008315.fits          8315     349.67           57         1307
    SNR_in_N44 80.779792 -67.886667 ellipse  127.5  127.5    90  blue     good   8316 60274   900.0 80.584147 -67.947672   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60274/lvmSFrame-00008316.fits          8316     344.01           57         1308
    SNR_in_N44 80.779792 -67.886667 ellipse  127.5  127.5    90  blue     good   8317 60274   900.0 80.588538  -67.94759   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60274/lvmSFrame-00008317.fits          8317     339.27           57         1309
    SNR_in_N44 80.779792 -67.886667 ellipse  127.5  127.5    90  blue     good   8318 60274   900.0 80.590713 -67.947936   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60274/lvmSFrame-00008318.fits          8318     337.84           57         1310
    SNR_in_N44 80.779792 -67.886667 ellipse  127.5  127.5    90  blue     good   8319 60274   900.0 80.592282 -67.948084   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60274/lvmSFrame-00008319.fits          8319     336.58           57         1311
     SNR_N157B 84.441667 -69.174444 ellipse   60.0   60.0     0  blue     good   8353 60275    10.0  84.66076 -69.080242   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60275/lvmSFrame-00008353.fits          8353     440.43           85         1327
     SNR_N157B 84.441667 -69.174444 ellipse   60.0   60.0     0  blue     good   8354 60275    10.0 84.662084 -69.076978   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60275/lvmSFrame-00008354.fits          8354     450.62           85         1328
     SNR_N157B 84.441667 -69.174444 ellipse   60.0   60.0     0  blue     good   8355 60275    10.0 84.671303 -69.075683   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60275/lvmSFrame-00008355.fits          8355     461.72           85         1329
     SNR_N157B 84.441667 -69.174444 ellipse   60.0   60.0     0  blue     good   8356 60275    10.0 84.672345 -69.075915   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60275/lvmSFrame-00008356.fits          8356     461.93           85         1330
     SNR_N157B 84.441667 -69.174444 ellipse   60.0   60.0     0  blue     good   8357 60275    10.0  84.67266 -69.083152   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60275/lvmSFrame-00008357.fits          8357     442.47           85         1331
     SNR_N157B 84.441667 -69.174444 ellipse   60.0   60.0     0  blue     good   8358 60275    10.0   84.6651   -69.0851   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60275/lvmSFrame-00008358.fits          8358     430.77           85         1332
     SNR_N157B 84.441667 -69.174444 ellipse   60.0   60.0     0  blue     good   8359 60275    10.0 84.657737 -69.083542   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60275/lvmSFrame-00008359.fits          8359     428.82           85         1333
