# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# PALACE reference spectra with atmospheric extinction for the total emission
# and for the chemical species OH, O2, HO2, FeO, Na, K, O, N, and H
# 
# Column names:
# lam: air wavelength in µm
# f{species}: flux in R/nm with atmospheric extinction for total emission
#             (all) or individual chemical species
# df{species}: standard deviation for f{species} in R/nm
# 
    lam     fall    dfall      fOH     dfOH      fO2     dfO2   fHO2  dfHO2  fFeO  dfFeO    fNa   dfNa    fK   dfK      fO     dfO    fN   dfN    fH   dfH 
 0.3116     2.65     1.09     0.00     0.00     2.22     0.89   0.15   0.07  0.28   0.12   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3117     2.69     1.10     0.00     0.00     2.25     0.91   0.15   0.07  0.29   0.12   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3118     2.72     1.12     0.00     0.00     2.28     0.92   0.15   0.08  0.29   0.12   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3119     2.76     1.13     0.00     0.00     2.31     0.93   0.15   0.08  0.29   0.13   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3120     2.78     1.14     0.00     0.00     2.33     0.94   0.15   0.08  0.30   0.13   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3121     2.80     1.15     0.00     0.00     2.35     0.95   0.15   0.08  0.30   0.13   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3122     2.82     1.16     0.00     0.00     2.37     0.95   0.16   0.08  0.30   0.13   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3123     2.85     1.17     0.00     0.00     2.38     0.96   0.16   0.08  0.31   0.13   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3124     2.87     1.18     0.00     0.00     2.40     0.97   0.16   0.08  0.31   0.13   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3125     2.89     1.19     0.00     0.00     2.42     0.97   0.16   0.08  0.31   0.13   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3126     2.91     1.19     0.00     0.00     2.43     0.98   0.16   0.08  0.31   0.13   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3127     2.92     1.20     0.00     0.00     2.44     0.98   0.16   0.08  0.31   0.13   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3128     2.93     1.20     0.00     0.00     2.45     0.99   0.16   0.08  0.32   0.13   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3129     2.93     1.21     0.00     0.00     2.45     0.99   0.16   0.08  0.32   0.14   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3130     2.94     1.21     0.00     0.00     2.46     0.99   0.16   0.08  0.32   0.14   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3131     2.93     1.20     0.00     0.00     2.45     0.99   0.16   0.08  0.32   0.14   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3132     2.91     1.20     0.00     0.00     2.43     0.98   0.16   0.08  0.32   0.13   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3133     2.89     1.19     0.00     0.00     2.41     0.97   0.16   0.08  0.31   0.13   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
