# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# PALACE reference intensities for atomic lines (consistent with corresponding
# lines in palace_lines.fits)
# 
# Column names:
# lam: vacuum wavelength in µm (NIST)
# trans: atmospheric transmission for standard conditions at Cerro Paranal
#        (noll+12), PWV = 2.5 mm, and zenith
# fH2O: fraction of H2O with respect to optical depth (based on transmission
#       spectra with PWV = 1 and 5 mm)
# I: reference intensity in R
# ID: 12 characters describing upper and lower states (NIST):
#     1-2: chemical species
#     3-4: last subshell of configuration of upper state
#     5-6: term of upper state
#     7-8: last subshell of configuration of lower state
#     9-10: term of lower state
#     11: quantum number J of upper state multiplied by 2 (O: 1)
#     12: quantum number J of lower state multiplied by 2 (O: 1)
# chem: chemical species (Na, K, O, N, or H)
# M: molar mass in kg/mol
# Tkin: kinetic temperature in K for Doppler broadening of line
# hlay: height of emission layer in km (H: -1)
# src: 4-digit binary code for source of intensity I:
#      1: I based on X-shooter data (partly noll+23)? 1 = yes, 0 = no
#      2: I based on UVES data from noll+20? 1 = yes, 0 = no
#      3: I based on other data (cosby+06, oliva+15)? 1 = yes, 0 = no
#      4: I based on model (= 1) or direct measurement (= 0)?
# class: label of variability class
# 
# References:
# NIST: https://physics.nist.gov/asd
# noll+12: https://doi.org/10.1051/0004-6361/201219040
# noll+19: https://doi.org/10.1029/2018JD030044 (only K lines)
# 
       lam   trans   fH2O          I            ID  chem      M    Tkin   hlay   src  class 
 0.6564722  0.9847  0.010  1.589e-01  H_3s2S2p2P13     H  0.001  1000.0   -1.0  1001      H 
 0.7003830  0.9938  0.048  2.197e-02  O_4d3D3p3P11     O  0.016  1000.0  300.0  1001    Orc 
 0.7003853  0.9936  0.057  6.600e-02  O_4d3D3p3P21     O  0.016  1000.0  300.0  1001    Orc 
 0.7004104  0.9730  0.611  1.469e-03  O_4d3D3p3P12     O  0.016  1000.0  300.0  1001    Orc 
 0.7004127  0.9823  0.472  2.199e-02  O_4d3D3p3P22     O  0.016  1000.0  300.0  1001    Orc 
 0.7004161  0.9892  0.278  1.231e-01  O_4d3D3p3P32     O  0.016  1000.0  300.0  1001    Orc 
 0.7004181  0.9909  0.206  2.929e-02  O_4d3D3p3P10     O  0.016  1000.0  300.0  1001    Orc 
 0.7256153  0.9926  0.374  1.147e-02  O_5s3S3p3P11     O  0.016  1000.0  300.0  1001    Orc 
 0.7256447  0.9950  0.205  1.911e-02  O_5s3S3p3P12     O  0.016  1000.0  300.0  1001    Orc 
 0.7256530  0.9951  0.193  3.816e-03  O_5s3S3p3P10     O  0.016  1000.0  300.0  1001    Orc 
 0.7667009  0.0026  0.000  1.580e+00  K_4p2P4s2S31     K  0.039   190.0   89.0  0101      K 
 0.7701084  0.9982  0.000  9.460e-01  K_4p2P4s2S11     K  0.039   190.0   89.0  0100      K 
 0.7774083  0.9979  0.000  7.532e+00  O_3p5P3s5S32     O  0.016  1000.0  300.0  1001    Orc 
 0.7776305  0.9978  0.000  5.380e+00  O_3p5P3s5S22     O  0.016  1000.0  300.0  1001    Orc 
 0.7777527  0.9978  0.001  3.228e+00  O_3p5P3s5S12     O  0.016  1000.0  300.0  1001    Orc 
 0.8448568  0.9975  0.591  7.393e-01  O_3p3P3s3S01     O  0.016  1000.0  300.0  1001    Orc 
 0.8448680  0.9987  0.369  3.697e+00  O_3p3P3s3S21     O  0.016  1000.0  300.0  1001    Orc 
 0.8449079  0.9992  0.128  2.218e+00  O_3p3P3s3S11     O  0.016  1000.0  300.0  1001    Orc 
 0.9263347  0.9820  0.995  3.827e-01  O_3d5D3p5P01     O  0.016  1000.0  300.0  1001    Orc 
 0.9263389  0.9793  0.994  8.599e-01  O_3d5D3p5P11     O  0.016  1000.0  300.0  1001    Orc 
 0.9263478  0.9431  0.983  6.693e-01  O_3d5D3p5P21     O  0.016  1000.0  300.0  1001    Orc 
 0.9265124  0.9921  0.983  2.858e-01  O_3d5D3p5P12     O  0.016  1000.0  300.0  1001    Orc 
 0.9265212  0.9940  0.970  1.116e+00  O_3d5D3p5P22     O  0.016  1000.0  300.0  1001    Orc 
 0.9265318  0.9929  0.977  1.784e+00  O_3d5D3p5P32     O  0.016  1000.0  300.0  1001    Orc 
 0.9268369  0.9970  0.974  1.274e-01  O_3d5D3p5P23     O  0.016  1000.0  300.0  1001    Orc 
 0.9268475  0.9949  0.982  8.890e-01  O_3d5D3p5P33     O  0.016  1000.0  300.0  1001    Orc 
 0.9268548  0.9903  1.000  3.437e+00  O_3d5D3p5P43     O  0.016  1000.0  300.0  1001    Orc 
 0.9697320  0.9695  0.997  1.749e-02  O_6p5P4s5S32     O  0.016  1000.0  300.0  1001    Orc 
 0.9697565  0.9318  0.963  1.249e-02  O_6p5P4s5S22     O  0.016  1000.0  300.0  1001    Orc 
 0.9697719  0.9955  1.000  7.495e-03  O_6p5P4s5S12     O  0.016  1000.0  300.0  1001    Orc 
 0.9828483  0.9807  1.000  5.136e-04  O_7f5F3d5D34     O  0.016  1000.0  300.0  1001    Orc 
 0.9828483  0.9807  1.000  7.703e-03  O_7f5F3d5D44     O  0.016  1000.0  300.0  1001    Orc 
 0.9828483  0.9807  1.000  5.632e-02  O_7f5F3d5D54     O  0.016  1000.0  300.0  1001    Orc 
 0.9828566  0.9878  1.000  1.078e-02  O_7f5F3d5D33     O  0.016  1000.0  300.0  1001    Orc 
 0.9828566  0.9878  1.000  1.026e-03  O_7f5F3d5D23     O  0.016  1000.0  300.0  1001    Orc 
 0.9828566  0.9878  1.000  3.852e-02  O_7f5F3d5D43     O  0.016  1000.0  300.0  1001    Orc 
 0.9828685  0.9914  1.000  2.464e-02  O_7f5F3d5D32     O  0.016  1000.0  300.0  1001    Orc 
 0.9828685  0.9914  1.000  1.026e-03  O_7f5F3d5D12     O  0.016  1000.0  300.0  1001    Orc 
 0.9828685  0.9914  1.000  1.026e-02  O_7f5F3d5D22     O  0.016  1000.0  300.0  1001    Orc 
 0.9828785  0.9913  1.000  7.188e-03  O_7f5F3d5D11     O  0.016  1000.0  300.0  1001    Orc 
 0.9828785  0.9913  1.000  1.437e-02  O_7f5F3d5D21     O  0.016  1000.0  300.0  1001    Orc 
 0.9828832  0.9901  1.000  7.188e-03  O_7f5F3d5D10     O  0.016  1000.0  300.0  1001    Orc 
 0.9894359  0.9993  0.602  9.559e-02  O_7f3F3d3D21     O  0.016  1000.0  300.0  1001    Orc 
 0.9894427  0.9995  0.436  1.413e-01  O_7f3F3d3D32     O  0.016  1000.0  300.0  1001    Orc 
 0.9894427  0.9995  0.436  1.770e-02  O_7f3F3d3D22     O  0.016  1000.0  300.0  1001    Orc 
 0.9894516  0.9997  0.305  2.039e-01  O_7f3F3d3D43     O  0.016  1000.0  300.0  1001    Orc 
 0.9894516  0.9997  0.305  1.772e-02  O_7f3F3d3D33     O  0.016  1000.0  300.0  1001    Orc 
 0.9894516  0.9997  0.305  4.983e-04  O_7f3F3d3D23     O  0.016  1000.0  300.0  1001    Orc 
